timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721836556484,5,get user list,200,OK,Thread Group test de charge 1-541,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556493,6,get user list,200,OK,Thread Group test de charge 1-542,text,true,,614,125,1,1,http://localhost:5555/api/users,6,0,1
1721836556503,8,get user list,200,OK,Thread Group test de charge 1-543,text,true,,614,125,1,1,http://localhost:5555/api/users,8,0,2
1721836556513,5,get user list,200,OK,Thread Group test de charge 1-544,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556524,5,get user list,200,OK,Thread Group test de charge 1-545,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556534,8,get user list,200,OK,Thread Group test de charge 1-546,text,true,,614,125,1,1,http://localhost:5555/api/users,8,0,1
1721836556543,4,get user list,200,OK,Thread Group test de charge 1-547,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556552,5,get user list,200,OK,Thread Group test de charge 1-548,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556563,6,get user list,200,OK,Thread Group test de charge 1-549,text,true,,614,125,1,1,http://localhost:5555/api/users,6,0,1
1721836556572,5,get user list,200,OK,Thread Group test de charge 1-550,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556583,4,get user list,200,OK,Thread Group test de charge 1-551,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556594,5,get user list,200,OK,Thread Group test de charge 1-552,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556602,5,get user list,200,OK,Thread Group test de charge 1-553,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556632,4,get user list,200,OK,Thread Group test de charge 1-556,text,true,,614,125,3,3,http://localhost:5555/api/users,4,0,1
1721836556622,4,get user list,200,OK,Thread Group test de charge 1-555,text,true,,614,125,2,2,http://localhost:5555/api/users,4,0,1
1721836556612,4,get user list,200,OK,Thread Group test de charge 1-554,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556644,4,get user list,200,OK,Thread Group test de charge 1-557,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556653,4,get user list,200,OK,Thread Group test de charge 1-558,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,2
1721836556663,4,get user list,200,OK,Thread Group test de charge 1-559,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
1721836556673,6,get user list,200,OK,Thread Group test de charge 1-560,text,true,,614,125,2,2,http://localhost:5555/api/users,6,0,2
1721836556682,4,get user list,200,OK,Thread Group test de charge 1-561,text,true,,614,125,3,3,http://localhost:5555/api/users,4,0,1
1721836556692,5,get user list,200,OK,Thread Group test de charge 1-562,text,true,,614,125,4,4,http://localhost:5555/api/users,5,0,1
1721836556703,6,get user list,200,OK,Thread Group test de charge 1-563,text,true,,614,125,1,1,http://localhost:5555/api/users,6,0,1
1721836556713,5,get user list,200,OK,Thread Group test de charge 1-564,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,2
1721836556723,5,get user list,200,OK,Thread Group test de charge 1-565,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,1
1721836556733,5,get user list,200,OK,Thread Group test de charge 1-566,text,true,,614,125,1,1,http://localhost:5555/api/users,5,0,2
1721836556743,4,get user list,200,OK,Thread Group test de charge 1-567,text,true,,614,125,1,1,http://localhost:5555/api/users,4,0,1
